                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7214,                 4.1416,                 4.1798,                 4.6797,                 6.4511,                 4.2313,                  7e-05,                0.00131,                  8e-05,                  3e-05,                 5.1058,                 4.1987,                 4.1579,                 5.0426,                 6.6351,                 4.1588,             0.00013336,             0.00013336,             0.00013336
                      2,                 4.8154,                 4.1138,                 4.1154,                   4.83,                 6.2261,                 4.1684,                  7e-05,                0.00131,                0.00012,                  3e-05,                 5.0997,                 4.1881,                 4.1454,                 5.0419,                 6.6245,                 4.1551,             0.00028058,             0.00028058,             0.00028058
                      3,                 4.5422,                 3.9646,                 4.0076,                 4.6044,                 5.7729,                 4.0865,                0.00055,                0.00131,                0.00036,                  4e-05,                 5.0786,                 4.1669,                 4.1092,                 5.0437,                 6.6313,                 4.1507,             0.00042484,             0.00042484,             0.00042484
                      4,                 4.3409,                 3.8078,                  3.835,                 4.3752,                 5.2412,                 3.9104,                0.00055,                0.00131,                0.00036,                  4e-05,                 5.0564,                 4.1432,                  4.068,                   5.05,                 6.6579,                 4.1504,             0.00056612,             0.00056612,             0.00056612
                      5,                 3.8685,                 3.5242,                 3.5985,                 3.7786,                 4.5336,                  3.629,                0.00055,                0.00131,                0.00036,                  4e-05,                 5.0548,                  4.117,                 4.0518,                 5.0819,                 6.7673,                 4.1773,             0.00070443,             0.00070443,             0.00070443
                      6,                 3.4922,                  3.177,                 3.3712,                 3.5059,                 4.2554,                 3.2658,                0.00104,                0.00131,                0.00052,                 0.0001,                 5.1165,                 4.1172,                 4.1332,                 5.1531,                 7.0164,                 4.2879,             0.00083978,             0.00083978,             0.00083978
                      7,                  3.326,                 2.8791,                  3.119,                 3.3726,                 3.8541,                 2.9115,                0.00051,                0.00131,                0.00026,                  3e-05,                 5.1465,                 4.1224,                 4.1825,                 5.2024,                  7.175,                 4.3795,             0.00097215,             0.00097215,             0.00097215
                      8,                 3.1864,                 2.6581,                 2.8978,                 3.1198,                 3.5932,                 2.6863,                0.00026,                0.00131,                0.00013,                  4e-05,                 5.1442,                 4.1246,                 4.1782,                 5.2168,                 7.1093,                 4.3794,              0.0011015,              0.0011015,              0.0011015
                      9,                 3.0371,                 2.5951,                 2.8089,                 2.9965,                 3.5123,                 2.6059,                0.00026,                0.00131,                0.00013,                  4e-05,                 5.0689,                 4.1081,                 4.1376,                 5.2001,                 6.7817,                 4.2769,               0.001228,               0.001228,               0.001228
                     10,                 3.0102,                 2.4798,                 2.6405,                 2.9145,                 3.3106,                 2.3748,                0.00018,                0.00131,                  9e-05,                  3e-05,                  5.067,                  4.178,                 4.1832,                 5.2325,                 6.5278,                 4.2431,              0.0013514,              0.0013514,              0.0013514
                     11,                 2.9819,                 2.4637,                 2.5826,                 2.8817,                 3.2615,                 2.2667,                0.00015,                0.00131,                  8e-05,                  3e-05,                 4.1558,                  3.824,                 3.5596,                 4.5324,                 5.1165,                 3.4396,              0.0014719,              0.0014719,              0.0014719
                     12,                 2.8859,                   2.38,                 2.4492,                 2.7975,                 3.1782,                 2.1992,                0.00015,                0.00131,                  8e-05,                  2e-05,                 4.3106,                 3.7221,                 3.5719,                 4.7135,                 4.9732,                 3.3774,              0.0014855,              0.0014855,              0.0014855
                     13,                 2.8737,                 2.2906,                 2.3956,                 2.7751,                 3.0996,                 2.1172,                0.00091,                0.00653,                0.00301,                0.00113,                 4.0415,                 3.4145,                 3.2898,                 4.3615,                 4.5637,                 3.1416,              0.0014855,              0.0014855,              0.0014855
                     14,                 2.9108,                 2.3582,                 2.3911,                 2.7692,                 3.1599,                 2.1141,                0.00434,                0.03916,                0.01247,                0.00364,                 3.9767,                 3.2483,                 3.1692,                 4.1009,                 4.1795,                  2.976,               0.001469,               0.001469,               0.001469
                     15,                 2.8255,                 2.2259,                 2.2865,                 2.7219,                  3.026,                 2.0129,                0.01536,                0.21597,                0.07493,                0.02501,                 3.4076,                 2.5959,                 2.7036,                 3.3275,                 3.4013,                 2.4545,              0.0014525,              0.0014525,              0.0014525
                     16,                 2.8452,                  2.186,                 2.2662,                  2.758,                 2.9657,                  1.983,                0.66608,                0.13577,                0.11547,                0.04151,                 2.8973,                 2.2436,                 2.2827,                 2.9188,                 2.9836,                 2.1635,               0.001436,               0.001436,               0.001436
                     17,                 2.8128,                 2.1802,                 2.2501,                 2.7124,                  2.958,                 1.9613,                0.67023,                0.13969,                0.10701,                0.03647,                 2.9244,                  2.207,                 2.2454,                 3.0145,                 2.9535,                 2.1652,              0.0014195,              0.0014195,              0.0014195
                     18,                 2.8544,                 2.1332,                 2.1904,                 2.7867,                 2.8804,                 1.9208,                0.62406,                0.13577,                0.09085,                0.03057,                 2.9823,                 2.4095,                 2.2987,                 2.8897,                 3.0396,                 2.0878,              0.0014029,              0.0014029,              0.0014029
